name,category,frame,location,x0,x1,y0,y1,z0,z1,confidence,verified,evidence
Fan control box 'lower tier' (1 switch),electrical,room,inside,3.92,4.25,2.02,2.3,0.45,0.78,high,True,"IMG_2545 (foreground box, FAN switch) / 2546 / 2533 + point cloud (box cluster X 3.92-4.25, z 0.45-0.78, protruding ~25 cm from the Y=W face): third box from the door; label 'กล่องควบคุมพัดลม ชั้นล่าง' -> tier-1 fans (probably the nursery-2 / far-end panel, since box 13 covers nursery 1)"
Fan control box '4 tiers' (FAN1-FAN4 = tiers 2-5),electrical,room,inside,2.72,3.08,2.02,2.3,0.45,0.78,high,True,"IMG_2545 (second box, 4 switches) / 2547 / 2533 + point cloud (box cluster X 2.72-3.08, z 0.45-0.78): second box from the door; label 'กล่องควบคุมพัดลม 4 ชั้น', FAN1-FAN4 -> growing tiers 2-5"
Fan control box 'nursery plants' = nursery-1 fans (3 switches),electrical,room,inside,0.62,0.8,2.02,2.3,0.45,0.76,high,True,"IMG_2548 + point cloud (dense cluster X 0.55-0.80, z 0.45-0.9 on the door-end post, Y=W side) + site note 2026-09-14: all three fan boxes are on the Y=W face; this one is on the end post nearest the door. 200 mm Sunon fan + 3 switches = the 3 circulation fans of the nursery-1 (door-end) panel; label 'กล่องควบคุมพัดลม อนุบาลพืช'"
Dosing box A (gc2) + sample pot -> doses the nursery-2 tank,nutrient,room,inside,5.3,5.85,2.02,2.15,0.4,0.7,high,True,"IMG_2523/2524/2541 + site confirmation 2026-09-14: peristaltic dosing box (A/B 500 mL/min, pH 85 mL/min) with sample pot (EC/pH/water-temp probes) on the Y=W face, below gc2; its tubes go into the nursery-2 tank (item 20); jerrycans A, B and 3 % nitric acid below"
Dosing box B (gc1) + Jecod 50 W DC pump controller -> doses the 200 L tank,nutrient,room,inside,5.9,6.2,2.02,2.15,0.4,0.8,medium,True,IMG_2525/2542: second dosing box beside the blue return riser at the rack end -> by elimination the growing-stage (gc1) dosing set for the 200 L tank; Jecod DC controller = its circulation pump
"Circulation fans, door end (3 per tier)",hvac,room,inside,0.77,0.85,0.985,2.025,0.39,2.4,high,True,IMG_2520/2531/2551: fan panels with 3 axial fans at the end of every tier
"Circulation fans, far end (3 per tier)",hvac,room,inside,6.12,6.2,0.985,2.025,0.39,2.4,high,True,IMG_2533/2545
"Growing-stage tank (200 L, lid, sample pot + level sensor) - gc1",nutrient,room,inside,6.25,7.05,0.9,1.95,0.0,0.6,high,True,"IMG_2528/2543 + point cloud (blue, X 6.25-7.05, Y 0.9-1.95); design p.4/7: 200 L tank of the growing stage (tiers 2-5) with sample pot; controlled by gc1 (confirmed 2026-09-14)"
"Nursery-1 tank (100 L) under tier 1, door end - no controller",nutrient,room,inside,1.42,1.9,1.15,1.85,0.0,0.33,high,True,IMG_2534/2535 + point cloud (blue box 0.48 x 0.70 x 0.33 m at X 1.4-1.9); site note: door-end half of tier 1 = nursery 1 (design p.7: 100 L)
"Nursery-2 tank (100 L) under tier 1, far end - gc2",nutrient,room,inside,5.4,5.9,1.2,1.85,0.0,0.33,high,True,IMG_2534/2535/2542 + point cloud (blue box at X 5.4-5.9); site note: far-end half (by the growing tank) = nursery 2 (design p.7: 100 L)
"Stock-solution jerrycans (A, B, 3 % nitric acid)",nutrient,room,inside,5.1,6.0,2.15,2.45,0.0,0.4,high,True,"IMG_2523/2526/2541/2542 + point cloud (round blobs at X 5.2 / 5.5 / 5.75, Y 2.3 — the 'three drums' of the first scan analysis): 5-10 L jerrycans on the floor of the Y=W aisle under dosing box A"
Dehumidifier (portable),hvac,room,inside,1.5,1.95,0.02,0.36,0.0,0.6,high,True,IMG_2520/2549 + point cloud (rounded object at X 1.5-1.95 against the Y=0 wall): on the floor of the Y=0 aisle below the router
Anteroom with sink (not scanned; length = design 8.9 m - scanned 7.12 m),structure,room,anteroom,-1.78,0.0,0.0,3.01,0.0,2.58,medium,True,site note 2026-09-14 + design drawing p.3/5 (sink + work table at the entrance end); outer PVC door in IMG_2553
CO2 cylinders x2 + regulator/flowmeter (outside),co2,room,outside,-2.35,-1.95,2.35,2.75,0.0,1.55,medium,True,"IMG_2553/2554: two CO2 cylinders with a heated regulator (220 V, 210 W) and LPM flowmeter under the porch, left of the outer door seen from outside (Y=W side)"
"CO2 control box (outside, green pilot lamp)",co2,room,outside,-2.08,-1.88,2.65,2.95,1.1,1.5,medium,True,IMG_2554: wall box with pilot lamp + socket feeding the regulator heater — the 'Relay_co2' actuator of the CO2 controller
"RO storage tank (slim, design 5 m3) - outside",water,room,outside_far,7.45,8.25,0.2,0.75,0.0,2.0,low,True,IMG_2577/2578/2579: grey slim tank in the service passage beside the container; pptx slide 3: 'RO storage tank 5 cu m'. Position schematic
Centrifugal pump (>= 3000 L/h) - outside,water,room,outside_far,7.55,7.85,1.05,1.35,0.0,0.35,low,True,IMG_2579: yellow centrifugal pump on a plinth in the passage; pptx slide 3: 'centrifugal pump not less than 3000 L/h'
"RO filter set (3-stage cartridges, on the wall) - outside",water,room,outside_far,7.6,7.8,1.45,1.75,0.9,1.6,low,True,IMG_2579: filter housings on the masonry wall above the pump; pptx slide 3: 'RO filtration system'
Buried spent-solution tank (per plan; not seen),water,room,outside_far,8.45,9.05,2.05,2.65,-0.6,0.0,low,False,pptx slide 3: waste line leaves the far end to a buried tank for used nutrient solution; IMG_2577 shows the blue pipes running along the ground from the wall
